"","PLAYERNAME","ESPNID","url"
"58","Zoilo Almonte",31469,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31469.png"
"59","Albert Almora",32686,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32686.png"
"60","Pete Alonso",37498,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37498.png"
"61","Yonder Alonso",30016,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30016.png"
"62","Dan Altavilla",35222,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35222.png"
"63","Aaron Altherr",31738,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31738.png"
"64","Jose Altuve",31662,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31662.png"
"65","Henderson Alvarez",31047,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31047.png"
"66","Jose Alvarez",32099,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32099.png"
"67","Jose Alvarado",36063,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36063.png"
"68","Pedro Alvarez",29962,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29962.png"
"69","Yadier Alvarez",34960,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34960.png"
"70","Yordan Alvarez",36018,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36018.png"
"71","Adbert Alzolay",39802,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39802.png"
"72","Alexi Amarista",30562,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30562.png"
"73","Hector Ambriz",29795,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29795.png"
"74","Brett Anderson",30041,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30041.png"
"75","Bryan Anderson",29697,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29697.png"
"76","Brian Anderson",33776,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33776.png"
"77","Chase Anderson",32690,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32690.png"
"78","Cody Anderson",33183,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33183.png"
"79","Drew Anderson",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"80","Ian Anderson",40916,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40916.png"
"81","Justin Anderson",37611,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37611.png"
"82","Lars Anderson",29299,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29299.png"
"83","Nick Anderson",38102,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38102.png"
"84","Shaun Anderson",39681,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39681.png"
"85","Tim Anderson",33184,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33184.png"
"86","Tyler Anderson",32151,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32151.png"
"87","Robert Andino",6414,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6414.png"
"88","John Andreoli",32847,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32847.png"
"89","Matt Andriese",32549,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32549.png"
"90","Elvis Andrus",29515,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29515.png"
"91","Miguel Andujar",33743,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33743.png"
"92","Rick Ankiel",4159,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4159.png"
"93","Dean Anna",30851,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30851.png"
"94","Tejay Antone",42355,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42355.png"
"95","Norichika Aoki",32053,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32053.png"
"96","Mark Appel",33141,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33141.png"
"97","Aristides Aquino",33785,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33785.png"
"98","Victor Arano",36120,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36120.png"
"99","Jonathan Arauz",34963,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34963.png"
"100","Chris Archer",31003,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31003.png"
"101","Francisco Arcia",32437,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32437.png"
"102","Orlando Arcia",32530,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32530.png"
"103","Oswaldo Arcia",31262,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31262.png"
"104","Nolan Arenado",31261,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31261.png"
"105","J.P. Arencibia",29537,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29537.png"
"106","Joaquin Arias",28603,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28603.png"
"107","Kohei Arihara",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"108","Rogelio Armenteros",36887,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36887.png"
"109","Shawn Armstrong",33499,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33499.png"
"110","Randy Arozarena",36488,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36488.png"
"111","Luis Arraez",39572,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39572.png"
"112","Jose Arredondo",29113,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29113.png"
"113","Jake Arrieta",30145,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30145.png"
"114","Bronson Arroyo",4416,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4416.png"
"115","Christian Arroyo",33185,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33185.png"
"116","Humberto Arteaga",33522,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33522.png"
"117","Cody Asche",32637,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32637.png"
"118","Aaron Ashby",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"119","Alec Asher",33787,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33787.png"
"120","Willians Astudillo",34878,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34878.png"
"121","Carlos Asuaje",33892,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33892.png"
"122","Scott Atchison",4755,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4755.png"
